,name,price,square,num_of_room,poverh
239,,67 200 $,31 м²,1,12
240,,109 650 $,43 м²,1,15
241,,680 000 $,171 м²,4,6
242,,295 000 $,89 м²,3,5
243,,155 000 $,71 м²,2,13
244,,500 000 $,87 м²,2,3
245,,255 000 $,94 м²,2,6
246,,550 000 $,295 м²,5,15
247,,120 000 $,84 м²,2,8
248,,97 000 $,33 м²,1,12
249,,160 000 $,54 м²,2,14
250,,127 200 $,53 м²,1,7
251,,598 500 $,285 м²,5,9
252,,105 000 $,54 м²,1,26
253,,1 200 000 $,200 м²,4,17
254,,2 300 000 $,415 м²,4,5
255,,150 000 $,56 м²,2,4
256,,230 000 $,88 м²,3,4
257,,1 200 000 $,320 м²,3,8
258,,95 000 $,104 м²,2,7
259,,155 250 $,69 м²,3,20
260,,231 000 $,96 м²,2,14
261,,177 500 $,79 м²,2,27
262,,171 000 $,94 м²,3,4
263,,1 200 000 $,172 м²,3,3
264,,165 000 $,66 м²,2,14
265,,120 000 $,54 м²,2,2
266,,235 000 $,82 м²,2,9
267,,174 500 $,80 м²,3,9
268,,87 000 $,53 м²,1,26
269,,105 000 $,57 м²,2,1
270,,342 000 $,122 м²,3,8
271,,141 500 $,52 м²,1,35
272,,310 000 $,150 м²,3,4
273,,750 000 $,535 м²,7,8
274,,360 000 $,160 м²,4,11
275,,200 000 $,121 м²,4,10
276,,450 000 $,98 м²,2,21
277,,115 000 $,71 м²,1,15
278,,195 000 $,83 м²,3,16
279,,340 000 $,125 м²,3,16
280,,85 000 $,46 м²,1,5
281,,540 000 $,180 м²,4,5
282,,145 000 $,53 м²,2,3
283,,220 000 $,98 м²,3,10
284,,192 000 $,300 м²,7,1
285,,170 000 $,70 м²,2,15
286,,200 000 $,130 м²,3,10
287,,107 000 $,78 м²,2,3
288,,160 000 $,59 м²,1,5
289,,85 000 $,52 м²,2,10
290,,117 700 $,107 м²,3,18
291,,265 000 $,87 м²,1,19
292,,355 000 $,88 м²,3,7
293,,120 000 $,71 м²,1,15
294,,135 000 $,65 м²,2,5
295,,105 000 $,49 м²,1,21
296,,105 000 $,49 м²,1,20
297,,108 000 $,52 м²,2,15
298,,105 000 $,52 м²,2,2
299,,295 000 $,70 м²,2,3
300,,220 000 $,82 м²,3,1
301,,70 000 $,49 м²,1,12
302,,189 000 $,99 м²,2,3
303,,89 500 $,45 м²,2,15
304,,135 000 $,48 м²,1,12
305,,88 000 $,52 м²,1,Цокольний
306,,140 000 $,100 м²,5,1
307,,195 000 $,125 м²,4,8
308,,230 000 $,90 м²,3,6
309,,125 000 $,48 м²,1,20
310,,310 000 $,82 м²,2,9
311,,208 000 $,89 м²,2,10
312,,59 000 $,47 м²,1,5
313,,219 500 $,89 м²,2,15
314,,644 800 $,202 м²,4,5
315,,183 600 $,108 м²,2,5
316,,110 000 $,50 м²,1,21
317,,155 000 $,69 м²,1,14
318,,200 000 $,50 м²,1,2
319,,170 000 $,64 м²,2,4
320,,175 000 $,78 м²,2,5
321,,149 000 $,63 м²,2,8
322,,145 000 $,52 м²,2,2
323,,90 000 $,53 м²,2,10
324,,165 000 $,66 м²,2,14
325,,110 000 $,41 м²,1,7
326,,140 000 $,53 м²,2,2
327,,95 000 $,47 м²,1,2
328,,125 000 $,46 м²,2,3
329,,96 500 $,53 м²,3,2
330,,74 000 $,47 м²,2,11
331,,310 000 $,94 м²,2,3
332,,310 000 $,80 м²,2,10
333,,156 000 $,90 м²,3,10
334,,186 000 $,78 м²,2,7
335,,165 000 $,167 м²,5,13
336,,90 000 $,64 м²,2,13
337,,155 000 $,99 м²,3,18
338,,130 000 $,80 м²,2,13
339,,239 225 $,96 м²,2,14
340,,235 000 $,75 м²,3,3
341,,70 000 $,60 м²,3,5
342,,190 000 $,77 м²,2,11
343,,52 000 $,60 м²,1,17
344,,93 000 $,103 м²,3,19
345,,70 000 $,53 м²,3,9
346,,65 700 $,48 м²,1,5
347,,89 000 $,44 м²,1,19
348,,67 000 $,51 м²,2,9
349,,84 000 $,42 м²,1,9
350,,192 000 $,55 м²,2,4
351,,145 000 $,52 м²,2,4
352,,160 000 $,58 м²,1,25
353,,170 000 $,80 м²,3,8
354,,140 000 $,84 м²,2,4
355,,100 000 $,50 м²,1,2
356,,210 000 $,100 м²,1,3
357,,155 000 $,69 м²,2,19
358,,176 000 $,92 м²,2,13
359,,120 000 $,61 м²,1,5
360,,75 000 $,35 м²,1,1
361,,120 000 $,51 м²,1,18
362,,114 000 $,126 м²,3,11
363,,52 000 $,61 м²,1,18
364,,253 995 $,86 м²,2,5
365,,99 700 $,70 м²,2,5
366,,58 999 $,45 м²,2,4
367,,324 000 $,208 м²,5,5
368,,124 999 $,48 м²,1,1
369,,210 000 $,60 м²,1,18
370,,270 000 $,110 м²,3,4
371,,298 000 $,134 м²,4,4
372,,220 000 $,82 м²,2,13
373,,230 000 $,96 м²,3,6
374,,115 000 $,49 м²,1,2
375,,70 000 $,53 м²,1,9
376,,79 989 $,46 м²,1,20
377,,359 999 $,106 м²,3,3
378,,58 000 $,31 м²,1,3
379,,125 000 $,53 м²,2,2
380,,179 999 $,75 м²,2,5
381,,174 999 $,85 м²,2,5
382,,120 000 $,58 м²,1,16
383,,80 000 $,46 м²,1,22
384,,125 000 $,46 м²,1,13
385,,175 000 $,55 м²,2,3
386,,180 000 $,71 м²,2,18
387,,188 000 $,75 м²,2,20
388,,114 000 $,47 м²,1,5
389,,71 000 $,51 м²,1,3
390,,75 000 $,58 м²,2,7
391,,64 000 $,60 м²,1,3
392,,84 000 $,61 м²,2,16
393,,79 995 $,39 м²,1,1
394,,105 000 $,46 м²,2,5
395,,250 000 $,39 м²,1,31
396,,85 000 $,50 м²,2,18
397,,153 000 $,60 м²,2,2
398,,200 000 $,160 м²,4,4
399,,220 000 $,86 м²,2,6
400,,220 000 $,54 м²,2,2
401,,220 000 $,54 м²,2,2
402,,105 000 $,46 м²,2,2
403,,210 000 $,98 м²,3,17
404,,95 000 $,76 м²,2,2
405,,189 000 $,55 м²,2,4
406,,230 000 $,86 м²,2,6
407,,115 000 $,65 м²,3,1
408,,79 000 $,60 м²,3,5
409,,285 000 $,110 м²,2,12
410,,435 000 $,130 м²,4,3
411,,135 000 $,50 м²,1,3
412,,90 000 $,74 м²,3,9
413,,130 000 $,55 м²,2,3
414,,112 000 $,46 м²,1,12
415,,80 000 $,46 м²,1,22
416,,167 000 $,71 м²,2,13
417,,130 000 $,61 м²,2,22
418,,100 000 $,38 м²,1,31
419,,200 000 $,71 м²,2,28
420,,140 000 $,50 м²,2,3
421,,105 000 $,53 м²,2,3
422,,195 000 $,135 м²,3,Цокольний
423,,170 000 $,72 м²,2,5
424,,300 000 $,98 м²,3,6
425,,75 000 $,61 м²,3,2
426,,140 000 $,50 м²,1,18
427,,100 000 $,30 м²,1,4
428,,995 000 $,122 м²,3,7
429,,145 000 $,42 м²,1,6
430,,350 000 $,104 м²,3,5
431,,151 000 $,53 м²,1,18
432,,229 000 $,104 м²,3,12
433,,135 000 $,50 м²,1,3
434,,150 000 $,77 м²,2,15
435,,90 000 $,45 м²,1,5
436,,549 000 $,215 м²,4,5
437,,310 000 $,70 м²,2,3
438,,350 000 $,175 м²,5,4
439,,189 000 $,83 м²,2,16
440,,160 000 $,74 м²,2,3
441,,270 000 $,126 м²,3,7
442,,220 000 $,82 м²,2,11
443,,151 000 $,52 м²,1,18
444,,167 000 $,52 м²,2,2
445,,63 000 $,32 м²,1,8
446,,135 000 $,44 м²,1,17
447,,231 100 $,88 м²,3,15
448,,79 000 $,35 м²,1,8
449,,83 000 $,57 м²,1,7
450,,500 000 $,143 м²,4,7
451,,125 000 $,72 м²,2,2
452,,70 000 $,49 м²,2,3
453,,530 000 $,156 м²,4,5
454,,249 000 $,104 м²,3,13
455,,98 000 $,42 м²,2,16
456,,120 000 $,50 м²,1,8
457,,84 000 $,43 м²,2,19
458,,220 000 $,55 м²,2,2
459,,104 837 $,37 м²,1,2
460,,200 000 $,86 м²,3,5
461,,70 000 $,45 м²,2,3
462,,192 240 $,80 м²,3,7
463,,125 000 $,46 м²,1,1
464,,141 000 $,68 м²,2,7
465,,155 000 $,53 м²,2,21
466,,79 900 $,42 м²,1,22
467,,280 000 $,117 м²,3,9
468,,155 000 $,75 м²,2,20
469,,219 000 $,118 м²,3,7
470,,294 500 $,117 м²,3,3
471,,140 000 $,52 м²,1,18
472,,203 000 $,118 м²,2,24
473,,180 000 $,79 м²,2,14
474,,324 237 $,100 м²,3,22
475,,145 000 $,42 м²,2,6
476,,178 000 $,73 м²,2,9
477,,161 000 $,85 м²,3,1
478,,269 000 $,179 м²,5,2
479,,115 000 $,70 м²,2,14
480,,95 000 $,46 м²,2,2
481,,100 000 $,43 м²,1,13
482,,145 000 $,55 м²,2,2
483,,220 000 $,85 м²,2,4
484,,169 000 $,89 м²,3,6
485,,55 000 $,47 м²,1,20
486,,265 000 $,87 м²,3,3
487,,280 000 $,126 м²,5,4
488,,110 000 $,60 м²,2,4
489,,115 000 $,38 м²,1,4
490,,350 000 $,152 м²,3,4
491,,180 000 $,59 м²,1,7
492,,150 000 $,52 м²,2,2
493,,250 000 $,151 м²,3,5
494,,190 000 $,80 м²,2,4
495,,365 000 $,115 м²,2,9
496,,153 000 $,70 м²,2,14
497,,134 000 $,50 м²,2,4
498,,145 000 $,44 м²,1,13
499,,185 000 $,55 м²,1,4
500,,190 000 $,48 м²,1,8
501,,67 400 $,44 м²,2,8
502,,100 000 $,41 м²,1,4
503,,330 000 $,140 м²,3,11
504,,65 000 $,42 м²,2,4
505,,180 900 $,59 м²,2,7
506,,61 500 $,46 м²,2,3
507,,72 000 $,45 м²,2,2
508,,129 000 $,81 м²,3,3
509,,125 000 $,72 м²,2,2
510,,210 000 $,127 м²,4,3
511,,644 800 $,202 м²,1,5
512,,97 000 $,55 м²,3,3
513,,191 000 $,94 м²,3,4
514,,170 000 $,75 м²,2,19
515,,195 000 $,53 м²,1,2
516,,155 000 $,53 м²,1,17
517,,380 000 $,131 м²,3,9
518,,195 000 $,83 м²,2,16
519,,183 000 $,59 м²,2,7
520,,108 000 $,48 м²,1,11
521,,108 000 $,48 м²,1,11
522,,600 000 $,173 м²,3,3
523,,310 000 $,90 м²,2,5
524,,199 100 $,96 м²,2,12
525,,220 000 $,82 м²,2,13
526,,220 000 $,100 м²,3,16
527,,83 000 $,62 м²,3,2
528,,225 000 $,107 м²,4,21
529,,99 000 $,75 м²,2,15
530,,147 000 $,60 м²,2,23
531,,120 000 $,52 м²,2,3
532,,66 000 $,33 м²,1,9
533,,97 000 $,47 м²,1,16
534,,135 000 $,66 м²,2,11
535,,2 417 000 $,227 м²,4,2
536,,235 000 $,74 м²,2,3
537,,129 000 $,37 м²,1,5
538,,157 500 $,54 м²,1,8
539,,199 000 $,109 м²,3,23
540,,650 000 $,175 м²,4,12
541,,150 000 $,85 м²,2,6
542,,220 000 $,110 м²,3,11
543,,195 000 $,77 м²,2,2
544,,147 000 $,60 м²,1,23
545,,140 000 $,70 м²,2,8
546,,315 000 $,122 м²,4,6
547,,188 000 $,75 м²,2,18
548,,670 000 $,240 м²,5,16
549,,1 000 000 $,337 м²,5,11
550,,190 000 $,77 м²,2,11
551,,102 000 $,50 м²,2,9
552,,245 000 $,80 м²,2,4
553,,135 000 $,72 м²,2,2
554,,1 227 000 $,224 м²,3,13
555,,213 000 $,75 м²,1,3
556,,94 000 $,93 м²,4,Цокольний
557,,99 900 $,50 м²,2,9
558,,68 000 $,37 м²,1,11
559,,550 000 $,165 м²,3,6
560,,225 000 $,127 м²,4,8
561,,219 000 $,104 м²,3,13
562,,330 000 $,100 м²,4,2
563,,300 000 $,190 м²,6,8
564,,335 000 $,124 м²,4,3
565,,210 000 $,44 м²,2,4
566,,268 000 $,72 м²,3,3
567,,289 000 $,90 м²,4,4
568,,322 000 $,136 м²,4,17
569,,115 000 $,35 м²,1,30
570,,415 000 $,120 м²,3,24
571,,299 000 $,82 м²,2,16
572,,120 000 $,83 м²,2,19
573,,360 000 $,120 м²,3,2
574,,169 900 $,111 м²,3,22
575,,230 000 $,104 м²,3,13
576,,214 000 $,96 м²,3,34
577,,155 000 $,42 м²,1,3
578,,120 000 $,50 м²,1,8
579,,150 000 $,60 м²,2,2
580,,110 000 $,55 м²,1,16
581,,270 000 $,75 м²,3,4
582,,210 000 $,52 м²,1,10
583,,137 000 $,68 м²,2,3
584,,149 900 $,99 м²,3,3
585,,235 000 $,100 м²,3,19
586,,175 000 $,78 м²,2,5
587,,310 000 $,90 м²,3,5
588,,330 000 $,86 м²,2,16
589,,289 000 $,110 м²,3,12
590,,1 700 000 $,268 м²,5,4
591,,78 000 $,36 м²,1,12
592,,199 000 $,132 м²,5,3
593,,200 000 $,156 м²,4,7
594,,184 000 $,55 м²,2,6
595,,270 000 $,167 м²,4,22
596,,170 000 $,58 м²,2,9
597,,300 000 $,140 м²,2,3
598,,363 000 $,174 м²,3,4
599,,400 000 $,140 м²,4,13
600,,190 000 $,115 м²,4,3
601,,139 500 $,60 м²,2,23
602,,345 000 $,118 м²,3,11
603,,850 000 $,212 м²,4,8
604,,165 000 $,80 м²,3,15
605,,850 000 $,200 м²,4,5
606,,405 000 $,139 м²,3,14
607,,370 000 $,120 м²,3,3
608,,231 000 $,98 м²,2,5
609,,330 000 $,147 м²,4,14
610,,171 360 $,71 м²,2,2
611,,315 000 $,215 м²,5,6
612,,320 000 $,125 м²,4,8
613,,280 000 $,70 м²,2,8
614,,350 000 $,176 м²,4,17
615,,230 000 $,86 м²,2,6
616,,270 000 $,72 м²,2,3
617,,200 000 $,81 м²,3,5
618,,110 000 $,61 м²,1,3
619,,156 000 $,84 м²,2,4
620,,820 000 $,268 м²,4,4
621,,204 000 $,71 м²,2,28
622,,120 000 $,71 м²,2,12
623,,370 000 $,167 м²,4,3
624,,230 000 $,70 м²,3,4
625,,93 000 $,35 м²,1,15
626,,175 000 $,72 м²,2,5
627,,400 000 $,113 м²,3,4
628,,300 000 $,93 м²,3,3
629,,550 000 $,180 м²,5,4
630,,330 000 $,100 м²,3,3
631,,170 000 $,58 м²,2,9
632,,150 000 $,96 м²,3,11
633,,210 000 $,60 м²,1,18
