,name,price,square,num_of_room,poverh
332,,240 000 $,62 м²,1,2
333,,160 000 $,54 м²,2,14
334,,111 000 $,85 м²,3,15
335,,88 000 $,41 м²,1,6
336,,69 000 $,34 м²,9,9
337,,122 000 $,93 м²,3,4
338,,74 800 $,41 м²,1,14
339,,105 000 $,52 м²,2,8
340,,380 000 $,135 м²,2,36
341,,360 000 $,120 м²,2,24
342,,280 500 $,94 м²,2,24
343,,119 000 $,58 м²,2,3
344,,123 000 $,96 м²,2,19
345,,265 000 $,93 м²,2,14
346,,159 999 $,64 м²,1,5
347,,270 000 $,126 м²,3,7
348,,183 000 $,86 м²,2,18
349,,111 000 $,85 м²,2,15
350,,52 000 $,60 м²,1,17
351,,90 000 $,52 м²,1,23
352,,168 000 $,47 м²,1,2
353,,200 000 $,54 м²,2,4
354,,550 000 $,188 м²,3,2
355,,63 200 $,31 м²,1,4
356,,325 398 $,100 м²,3,22
357,,210 000 $,117 м²,3,4
358,,193 000 $,95 м²,3,9
359,,110 000 $,60 м²,2,4
360,,135 000 $,101 м²,3,18
361,,160 000 $,54 м²,2,14
362,,56 000 $,42 м²,1,5
363,,250 000 $,156 м²,4,8
364,,150 000 $,56 м²,2,4
365,,200 000 $,90 м²,3,10
366,,90 000 $,53 м²,2,28
367,,360 000 $,168 м²,4,33
368,,160 000 $,82 м²,2,4
369,,370 000 $,197 м²,4,21
370,,175 000 $,93 м²,2,8
371,,180 000 $,55 м²,2,1
372,,220 000 $,100 м²,3,16
373,,75 000 $,47 м²,1,12
374,,292 000 $,172 м²,4,3
375,,550 000 $,140 м²,5,4
376,,154 000 $,58 м²,2,6
377,,1 000 000 $,337 м²,5,11
378,,265 000 $,87 м²,3,19
379,,120 000 $,45 м²,1,9
380,,145 000 $,94 м²,3,11
381,,80 000 $,35 м²,1,2
382,,230 000 $,127 м²,4,8
383,,125 000 $,60 м²,2,15
384,,345 000 $,118 м²,3,11
385,,266 700 $,127 м²,4,7
386,,289 000 $,110 м²,3,12
387,,190 000 $,50 м²,2,19
388,,215 000 $,100 м²,3,3
389,,145 000 $,60 м²,2,3
390,,152 000 $,95 м²,1,13
391,,92 000 $,92 м²,3,8
392,,310 000 $,150 м²,3,4
393,,200 000 $,109 м²,3,11
394,,208 000 $,89 м²,2,10
395,,329 000 $,135 м²,3,7
396,,120 000 $,71 м²,2,12
397,,370 000 $,167 м²,1,3
398,,750 000 $,248 м²,5,8
399,,161 500 $,63 м²,1,18
400,,380 000 $,190 м²,4,5
401,,295 000 $,126 м²,4,7
402,,290 000 $,136 м²,4,12
403,,531 000 $,177 м²,3,21
404,,76 000 $,67 м²,3,9
405,,165 000 $,110 м²,3,17
406,,153 000 $,82 м²,2,12
407,,770 000 $,240 м²,5,19
408,,1 200 000 $,172 м²,3,3
409,,850 000 $,194 м²,4,5
410,,115 000 $,59 м²,3,2
411,,185 000 $,100 м²,3,6
412,,140 000 $,80 м²,3,6
413,,320 000 $,163 м²,5,10
414,,150 000 $,64 м²,3,3
415,,130 000 $,78 м²,2,22
416,,160 000 $,50 м²,1,14
417,,165 816 $,69 м²,3,21
418,,600 000 $,410 м²,5,17
419,,233 100 $,76 м²,2,17
420,,74 000 $,47 м²,2,11
421,,74 000 $,47 м²,2,11
422,,234 000 $,97 м²,2,9
423,,105 000 $,38 м²,1,31
424,,215 576 $,88 м²,2,8
425,,90 000 $,58 м²,1,18
426,,248 000 $,62 м²,2,4
427,,240 000 $,80 м²,2,3
428,,171 360 $,71 м²,2,2
429,,128 000 $,70 м²,2,11
430,,520 000 $,260 м²,6,24
431,,108 000 $,52 м²,2,15
432,,165 000 $,93 м²,3,5
433,,195 000 $,60 м²,1,18
434,,180 000 $,96 м²,3,11
435,,170 000 $,48 м²,1,6
436,,80 100 $,62 м²,2,7
437,,103 400 $,47 м²,1,20
438,,106 800 $,49 м²,1,18
439,,176 000 $,94 м²,3,13
440,,189 000 $,68 м²,2,1
441,,183 000 $,59 м²,2,7
442,,79 000 $,53 м²,2,5
443,,85 000 $,45 м²,1,3
444,,295 000 $,70 м²,2,3
445,,135 000 $,66 м²,2,5
446,,165 000 $,66 м²,2,14
447,,195 000 $,83 м²,2,6
448,,137 000 $,60 м²,2,4
449,,113 000 $,59 м²,1,3
450,,150 000 $,50 м²,1,10
451,,86 000 $,45 м²,1,18
452,,129 500 $,56 м²,2,23
453,,240 000 $,86 м²,3,16
454,,61 900 $,30 м²,1,3
455,,135 000 $,73 м²,3,5
456,,95 000 $,52 м²,1,29
457,,49 900 $,35 м²,1,8
458,,330 000 $,147 м²,5,24
459,,280 000 $,70 м²,2,8
460,,95 000 $,58 м²,2,9
461,,78 800 $,40 м²,2,22
462,,155 000 $,60 м²,2,1
463,,340 000 $,125 м²,3,16
464,,190 000 $,50 м²,1,19
465,,310 000 $,80 м²,2,10
466,,97 500 $,44 м²,1,21
467,,310 000 $,80 м²,2,10
468,,650 000 $,176 м²,3,3
469,,540 000 $,180 м²,4,5
470,,95 000 $,54 м²,2,4
471,,142 000 $,78 м²,3,2
472,,65 500 $,33 м²,1,2
473,,70 000 $,40 м²,1,8
474,,155 000 $,100 м²,1,18
475,,78 900 $,53 м²,1,14
476,,211 140 $,78 м²,2,3
477,,58 000 $,21 м²,1,Цокольний
478,,110 000 $,60 м²,2,4
479,,399 000 $,120 м²,3,1
480,,160 000 $,76 м²,3,3
481,,208 000 $,90 м²,2,10
482,,195 000 $,76 м²,1,20
483,,140 000 $,54 м²,1,9
484,,135 000 $,65 м²,2,5
485,,98 000 $,57 м²,1,22
486,,67 000 $,65 м²,2,8
487,,70 000 $,47 м²,1,17
488,,160 000 $,107 м²,2,2
489,,185 900 $,95 м²,2,13
490,,185 000 $,96 м²,3,3
491,,89 500 $,44 м²,1,15
492,,135 000 $,46 м²,1,13
493,,189 000 $,99 м²,2,3
494,,106 000 $,52 м²,1,5
495,,170 000 $,74 м²,2,5
496,,106 500 $,71 м²,2,18
497,,117 000 $,78 м²,1,3
498,,165 000 $,85 м²,2,5
499,,140 000 $,54 м²,2,5
500,,110 000 $,62 м²,1,7
501,,210 000 $,102 м²,3,2
502,,125 000 $,61 м²,2,8
503,,338 999 $,182 м²,4,4
504,,90 000 $,43 м²,1,13
505,,165 000 $,84 м²,2,9
506,,158 000 $,74 м²,2,13
507,,190 000 $,74 м²,2,15
508,,52 000 $,46 м²,2,4
509,,320 000 $,217 м²,5,5
510,,280 000 $,136 м²,3,4
511,,255 000 $,94 м²,2,6
512,,220 000 $,90 м²,3,6
513,,270 000 $,68 м²,2,6
514,,120 000 $,70 м²,2,14
515,,200 000 $,50 м²,1,2
516,,875 000 $,175 м²,4,18
517,,44 800 $,46 м²,2,3
518,,2 417 000 $,228 м²,4,2
519,,210 000 $,60 м²,1,8
520,,200 000 $,81 м²,2,9
521,,230 000 $,76 м²,4,2
522,,100 000 $,50 м²,2,2
523,,165 000 $,105 м²,3,20
524,,104 000 $,39 м²,1,5
525,,109 000 $,46 м²,1,3
526,,179 000 $,52 м²,1,5
527,,438 000 $,161 м²,4,4
528,,164 000 $,89 м²,3,6
529,,140 000 $,100 м²,5,1
530,,157 000 $,47 м²,1,2
531,,230 000 $,92 м²,1,9
532,,140 000 $,63 м²,2,6
533,,175 000 $,137 м²,4,24
534,,170 000 $,122 м²,3,16
535,,165 000 $,63 м²,2,4
536,,75 000 $,59 м²,1,4
537,,200 000 $,80 м²,2,4
538,,186 000 $,62 м²,3,5
539,,200 000 $,114 м²,4,4
540,,130 000 $,62 м²,2,5
541,,190 000 $,134 м²,3,11
542,,175 000 $,93 м²,3,8
543,,76 000 $,72 м²,3,6
544,,370 000 $,120 м²,3,3
545,,112 000 $,48 м²,2,11
546,,89 000 $,44 м²,1,19
547,,86 000 $,81 м²,3,9
548,,67 000 $,51 м²,2,9
549,,150 000 $,85 м²,2,6
550,,145 000 $,85 м²,3,4
551,,152 000 $,83 м²,2,8
552,,53 500 $,63 м²,2,13
553,,74 000 $,45 м²,2,2
554,,335 000 $,120 м²,3,24
555,,85 000 $,43 м²,1,1
556,,299 000 $,100 м²,3,4
557,,430 000 $,100 м²,3,15
558,,155 000 $,50 м²,2,2
559,,73 000 $,54 м²,2,8
560,,120 000 $,54 м²,2,4
561,,105 000 $,52 м²,1,8
562,,82 000 $,82 м²,2,18
563,,87 000 $,45 м²,1,11
564,,162 000 $,72 м²,2,7
565,,65 000 $,44 м²,2,1
566,,253 000 $,115 м²,3,4
567,,119 000 $,48 м²,1,9
568,,155 000 $,50 м²,2,4
569,,245 000 $,75 м²,2,18
570,,99 000 $,47 м²,2,9
571,,57 000 $,43 м²,1,13
572,,51 500 $,43 м²,2,1
573,,66 000 $,35 м²,1,17
574,,290 000 $,126 м²,4,7
575,,167 000 $,89 м²,2,6
576,,55 000 $,47 м²,2,1
577,,145 000 $,69 м²,2,16
578,,270 000 $,167 м²,3,22
579,,175 000 $,55 м²,2,3
580,,107 000 $,101 м²,3,21
581,,145 000 $,53 м²,1,17
582,,90 000 $,32 м²,2,2
583,,194 900 $,82 м²,2,7
584,,175 000 $,83 м²,2,4
585,,114 000 $,47 м²,1,5
586,,182 000 $,47 м²,1,4
587,,850 000 $,200 м²,3,5
588,,90 000 $,49 м²,1,12
589,,180 000 $,95 м²,3,9
590,,220 000 $,107 м²,3,21
591,,85 000 $,82 м²,2,15
592,,132 000 $,54 м²,1,22
593,,93 000 $,41 м²,1,4
594,,200 000 $,117 м²,4,6
595,,124 000 $,47 м²,1,3
596,,290 000 $,90 м²,3,4
597,,125 000 $,58 м²,1,9
598,,135 000 $,45 м²,1,3
599,,309 000 $,86 м²,2,17
600,,145 000 $,46 м²,2,6
601,,45 000 $,60 м²,1,10
602,,514 999 $,156 м²,3,5
603,,285 000 $,70 м²,3,3
604,,220 000 $,100 м²,3,16
605,,108 000 $,64 м²,2,8
606,,140 000 $,84 м²,2,4
607,,200 000 $,100 м²,3,5
608,,200 000 $,175 м²,4,2
609,,140 000 $,50 м²,1,3
610,,165 000 $,77 м²,2,15
611,,200 000 $,100 м²,3,3
612,,125 000 $,59 м²,1,26
613,,220 000 $,110 м²,3,11
614,,199 000 $,60 м²,2,9
615,,240 000 $,150 м²,5,5
616,,350 000 $,104 м²,3,5
617,,189 000 $,55 м²,2,4
618,,68 000 $,49 м²,2,7
619,,379 000 $,104 м²,4,14
620,,160 000 $,62 м²,3,4
621,,157 500 $,45 м²,1,15
622,,550 000 $,248 м²,3,2
623,,97 000 $,48 м²,2,2
624,,220 000 $,55 м²,2,2
625,,280 000 $,117 м²,3,9
626,,180 000 $,55 м²,2,1
627,,165 000 $,60 м²,3,2
628,,295 000 $,95 м²,3,14
629,,148 000 $,80 м²,3,4
630,,72 000 $,45 м²,2,3
631,,900 000 $,220 м²,5,18
632,,739 000 $,206 м²,3,12
633,,550 000 $,294 м²,5,4
634,,89 000 $,38 м²,1,2
635,,100 000 $,46 м²,1,13
636,,184 203 $,97 м²,3,12
637,,250 000 $,121 м²,3,5
638,,85 000 $,54 м²,2,4
639,,159 000 $,88 м²,3,1
640,,137 000 $,80 м²,2,8
641,,159 000 $,86 м²,2,7
642,,202 000 $,99 м²,3,3
643,,130 000 $,46 м²,1,7
644,,89 500 $,44 м²,1,15
645,,611 000 $,180 м²,5,4
646,,200 000 $,95 м²,4,1
647,,215 000 $,74 м²,2,9
648,,329 000 $,117 м²,2,2
649,,450 000 $,107 м²,4,3
650,,235 000 $,99 м²,3,5
651,,85 000 $,43 м²,1,4
652,,133 000 $,86 м²,3,15
653,,110 000 $,84 м²,2,18
654,,495 000 $,133 м²,3,10
655,,799 000 $,185 м²,3,2
656,,129 500 $,65 м²,2,5
657,,170 000 $,68 м²,3,1
658,,165 000 $,110 м²,3,17
659,,125 000 $,66 м²,2,8
660,,160 000 $,50 м²,1,14
661,,300 000 $,115 м²,3,10
662,,350 000 $,152 м²,3,4
663,,350 000 $,300 м²,4,9
664,,520 000 $,140 м²,3,3
665,,150 000 $,77 м²,2,15
666,,73 000 $,46 м²,1,14
667,,150 000 $,64 м²,3,3
668,,190 000 $,135 м²,3,9
669,,380 000 $,150 м²,4,14
670,,360 000 $,130 м²,4,4
671,,105 000 $,52 м²,1,22
672,,85 000 $,58 м²,1,11
673,,170 000 $,100 м²,3,4
674,,155 000 $,100 м²,3,18
675,,140 000 $,42 м²,2,6
676,,104 000 $,32 м²,2,1
677,,152 000 $,92 м²,3,29
678,,110 000 $,54 м²,1,16
679,,340 000 $,160 м²,3,4
680,,140 000 $,50 м²,1,3
681,,650 000 $,325 м²,5,4
682,,490 000 $,100 м²,3,19
683,,89 000 $,103 м²,5,5
684,,85 000 $,41 м²,1,5
685,,135 000 $,50 м²,1,3
686,,120 000 $,52 м²,2,3
687,,450 000 $,157 м²,4,14
688,,170 000 $,70 м²,2,15
689,,164 000 $,90 м²,2,16
690,,95 000 $,53 м²,1,25
691,,130 000 $,68 м²,2,23
692,,370 000 $,140 м²,4,13
693,,250 000 $,95 м²,3,7
694,,155 000 $,66 м²,2,14
695,,120 000 $,71 м²,2,12
696,,115 000 $,53 м²,1,18
697,,175 000 $,46 м²,1,12
698,,150 000 $,87 м²,2,22
699,,323 400 $,147 м²,4,14
700,,141 000 $,85 м²,2,22
701,,85 000 $,31 м²,1,25
702,,360 000 $,120 м²,3,2
703,,145 000 $,87 м²,2,5
704,,199 000 $,185 м²,5,4
705,,99 000 $,46 м²,1,21
706,,179 000 $,97 м²,3,4
707,,82 000 $,50 м²,2,8
708,,82 000 $,57 м²,1,7
709,,145 000 $,53 м²,1,17
710,,70 000 $,49 м²,2,Цокольний
711,,210 000 $,117 м²,3,4
712,,35 000 $,23 м²,1,3
713,,87 000 $,52 м²,1,21
714,,349 000 $,64 м²,2,3
715,,442 000 $,142 м²,4,9
716,,255 000 $,80 м²,2,3
717,,850 000 $,194 м²,4,5
718,,370 000 $,167 м²,1,3
719,,78 000 $,45 м²,1,15
720,,85 000 $,74 м²,3,4
721,,360 000 $,126 м²,3,4
722,,144 000 $,61 м²,2,8
723,,135 673 $,50 м²,2,4
724,,1 149 000 $,180 м²,4,11
725,,116 000 $,75 м²,3,14
726,,96 500 $,53 м²,3,2
727,,350 000 $,130 м²,3,6
728,,400 000 $,150 м²,3,3
729,,450 000 $,130 м²,3,2
730,,280 000 $,126 м²,5,4
731,,112 000 $,69 м²,2,9
732,,1 300 000 $,205 м²,4,17
733,,110 000 $,46 м²,1,12
734,,130 000 $,40 м²,2,2
735,,230 000 $,79 м²,3,1
736,,990 000 $,165 м²,4,6
737,,125 000 $,60 м²,2,6
738,,270 000 $,75 м²,2,2
739,,430 000 $,162 м²,4,16
740,,90 000 $,49 м²,2,9
741,,330 000 $,200 м²,4,7
742,,440 000 $,119 м²,4,9
743,,550 000 $,145 м²,4,7
744,,135 000 $,66 м²,2,11
745,,350 000 $,77 м²,3,2
746,,95 000 $,48 м²,2,2
747,,540 000 $,180 м²,3,5
748,,250 000 $,80 м²,2,24
749,,70 503 $,38 м²,1,5
750,,223 000 $,141 м²,4,24
751,,150 000 $,70 м²,2,1
752,,750 000 $,535 м²,7,8
753,,169 000 $,75 м²,3,6
